,Diabetes_%,Obesity_%,Poverty_%,Median Income,Unemployment_Rate_%,Age_45-64 (%),Age_>=65 (%),Number_of_males_per_100_females,White_Non-Hispanic_%,Black_Non-Hispanic_%,Asian_American_%,Hispanic_%,High_School_Diploma_or_higher_%,Bachelors_Degree_or_higher_%,Education_Expenditure_per_Student,Fast_Food_per_100000_people,Food_Stores_per_100000_people (non-fast food),Recreation_Centers_per_100000_people,Violent_Crime_per_100000_people,Primary_Care_Physicians_per_100000_people,Population
count,3140.0,3140.0,3139.0,3139.0,3139.0,3140.0,3140.0,3140.0,3139.0,3139.0,3139.0,3139.0,3139.0,3139.0,3120.0,3140.0,3140.0,3137.0,2551.0,2909.0,3140.0
mean,11.146974522292993,30.94168789808917,17.187257088244664,44846.67123287671,7.849856642242751,27.999617834394904,16.03875796178344,100.57404458598727,78.22185427964588,8.858798814108045,1.1537190308304246,8.298657583467199,84.1445683338643,19.487766804714877,12533.552943657376,57.81526232418459,27.388032564977227,7.000185922972081,95.93218657049452,59.87672739773118,100025.72101910828
std,2.3803834382605005,4.459512851812704,6.553147193529751,11396.594207615291,2.768561981948977,3.3045866520448963,4.268073955572472,12.167119383210654,19.782567385743693,14.509738420114227,2.552364011664952,13.262655005703932,7.040097187981008,8.768121001875922,6206.2221670218105,30.239626360609904,21.217231531589817,7.478003493855901,113.58156381218832,43.36940369554035,320062.60244657757
min,3.6,10.7,3.1,22126.0,1.1,9.6,3.8,73.4,1.3189448441247003,0.0,0.0,0.0,44.9,3.6999999999999997,5564.1431738992715,0.0,0.0,0.0,0.0,3.7,81.0
25%,9.5,28.5,12.4,37168.0,5.9,26.3,13.200000000000001,95.475,66.86828860368611,0.4923813875882107,0.1976555761689625,1.592532509272947,79.75,13.55,9750.047006269524,41.47900351968501,16.345619033818004,0.0,23.170311189788375,32.5,11015.0
50%,11.1,31.2,16.3,43039.0,7.7,28.099999999999998,15.7,98.2,85.58005901537506,2.001630287111675,0.49456331111890567,3.2912781130005486,85.6,17.299999999999997,11199.860417582386,58.34971276025661,21.730469768824825,6.330716637123322,61.327118851956335,50.6,25849.5
75%,12.625,33.7,20.9,50084.0,9.5,29.600000000000005,18.3,101.9,94.03542852424542,10.083146201577497,1.0773535896162496,8.296329021943585,89.4,23.1,13399.841730052638,73.19151611170946,30.990604806854712,10.575016523463315,125.67269539966283,75.7,67173.75
max,23.5,46.6,51.2,121250.0,27.4,55.1,44.5,325.0,100.0,86.19398166085497,43.11877430735489,98.3246279688578,97.5,72.8,148697.67441860464,579.7101449275364,299.40119760479047,77.04160246533127,1360.5442176870747,691.9,9970436.0
